getpwuid_r did not find a match for uid 501
Filtering the log data using "subsystem == "kc.debug""
Timestamp               Ty Process[PID:TID]
2026-09-08 16:27:52.683 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:52.683 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=334.5356744527817 kbH=335.0 frameY=539.0 anim=set from=0.0 to=335.0 inc=true fin=false last=334.6665191453149
2026-09-08 16:27:52.683 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=335.0 progress=1.0
2026-09-08 16:27:52.700 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:52.700 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=335.0 kbH=335.0 frameY=539.0 anim=set from=0.0 to=335.0 inc=true fin=true last=335.0
2026-09-08 16:27:52.700 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:52.716 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:52.716 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=335.0 kbH=335.0 frameY=539.0 anim=set from=0.0 to=335.0 inc=true fin=true last=335.0
2026-09-08 16:27:52.716 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:52.733 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:52.733 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=335.0 kbH=335.0 frameY=539.0 anim=set from=0.0 to=335.0 inc=true fin=true last=335.0
2026-09-08 16:27:52.733 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:52.749 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:52.749 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=335.0 kbH=335.0 frameY=539.0 anim=set from=0.0 to=335.0 inc=true fin=true last=335.0
2026-09-08 16:27:52.750 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:52.766 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:52.766 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=335.0 kbH=335.0 frameY=539.0 anim=set from=0.0 to=335.0 inc=true fin=true last=335.0
2026-09-08 16:27:52.766 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:52.783 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:52.783 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=335.0 kbH=335.0 frameY=539.0 anim=set from=0.0 to=335.0 inc=true fin=true last=335.0
2026-09-08 16:27:52.783 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:52.800 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:52.800 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=335.0 kbH=335.0 frameY=539.0 anim=set from=0.0 to=335.0 inc=true fin=true last=335.0
2026-09-08 16:27:52.800 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:52.816 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:52.816 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=335.0 kbH=335.0 frameY=539.0 anim=set from=0.0 to=335.0 inc=true fin=true last=335.0
2026-09-08 16:27:52.816 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:52.833 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:52.833 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=335.0 kbH=335.0 frameY=539.0 anim=set from=0.0 to=335.0 inc=true fin=true last=335.0
2026-09-08 16:27:52.833 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:52.850 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:52.850 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=335.0 kbH=335.0 frameY=539.0 anim=set from=0.0 to=335.0 inc=true fin=true last=335.0
2026-09-08 16:27:52.850 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:52.866 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:52.866 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=335.0 kbH=335.0 frameY=539.0 anim=set from=0.0 to=335.0 inc=true fin=true last=335.0
2026-09-08 16:27:52.866 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:52.883 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:52.883 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=335.0 kbH=335.0 frameY=539.0 anim=set from=0.0 to=335.0 inc=true fin=true last=335.0
2026-09-08 16:27:52.883 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:52.900 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:52.900 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=335.0 kbH=335.0 frameY=539.0 anim=set from=0.0 to=335.0 inc=true fin=true last=335.0
2026-09-08 16:27:52.900 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:52.916 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:52.916 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=335.0 kbH=335.0 frameY=539.0 anim=set from=0.0 to=335.0 inc=true fin=true last=335.0
2026-09-08 16:27:52.916 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:52.932 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] didAppear h=335.0 progress=1.0
2026-09-08 16:27:53.279 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] willDisappear dur=383 prev=335.0 anim=nil fin=false
2026-09-08 16:27:53.279 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=539.0 windowH=874.0 -> position=335.0 presentation=set
2026-09-08 16:27:53.279 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=335.0 prev=335.0 kbH=335.0 frameY=539.0 anim=nil from=-1.0 to=-1.0 inc=false fin=false last=-1.0
2026-09-08 16:27:53.279 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:53.284 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=874.0 windowH=874.0 -> position=0.0 presentation=set
2026-09-08 16:27:53.284 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=0.0 prev=335.0 kbH=335.0 frameY=874.0 anim=nil from=-1.0 to=-1.0 inc=false fin=false last=-1.0
2026-09-08 16:27:53.284 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick recreated anim=nil from=-1.0 to=-1.0
2026-09-08 16:27:53.284 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=0.0 progress=0.0
2026-09-08 16:27:53.317 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=874.0 windowH=874.0 -> position=0.0 presentation=set
2026-09-08 16:27:53.317 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=0.0 prev=0.0 kbH=335.0 frameY=874.0 anim=nil from=-1.0 to=-1.0 inc=false fin=false last=-1.0
2026-09-08 16:27:53.317 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:53.334 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=874.0 windowH=874.0 -> position=0.0 presentation=set
